30064771072,CALL,-1,,list = __builtins__.list,1,STATIC_DISPATCH,,1,<operator>.assignment,<operator>.assignment,1,,,ANY
30064771073,CALL,2,,"import(flask, Flask)",1,DYNAMIC_DISPATCH,,3,<unknownFullName>,import,2,,,ANY
30064771074,CALL,-1,,"Flask = import(flask, Flask)",1,STATIC_DISPATCH,,3,<operator>.assignment,<operator>.assignment,1,,,ANY
30064771075,CALL,2,,"import(flask, render_template)",1,DYNAMIC_DISPATCH,,3,<unknownFullName>,import,2,,,ANY
30064771076,CALL,-1,,"render_template = import(flask, render_template)",1,STATIC_DISPATCH,,3,<operator>.assignment,<operator>.assignment,2,,,ANY
30064771077,CALL,2,,"import(flask, request)",1,DYNAMIC_DISPATCH,,3,<unknownFullName>,import,2,,,ANY
30064771078,CALL,-1,,"request = import(flask, request)",1,STATIC_DISPATCH,,3,<operator>.assignment,<operator>.assignment,3,,,ANY
30064771079,CALL,2,,"import(neo4j, GraphDatabase)",1,DYNAMIC_DISPATCH,,4,<unknownFullName>,import,2,,,ANY
30064771080,CALL,-1,,"GraphDatabase = import(neo4j, GraphDatabase)",1,STATIC_DISPATCH,,4,<operator>.assignment,<operator>.assignment,3,,,ANY
30064771081,CALL,2,,"import(, pandas, pd)",1,DYNAMIC_DISPATCH,,5,<unknownFullName>,import,2,,,ANY
30064771082,CALL,-1,,"pd = import(, pandas, pd)",1,STATIC_DISPATCH,,5,<operator>.assignment,<operator>.assignment,4,,,ANY
30064771083,CALL,2,,"import(sklearn.preprocessing, MinMaxScaler)",1,DYNAMIC_DISPATCH,,6,<unknownFullName>,import,2,,,ANY
30064771084,CALL,-1,,"MinMaxScaler = import(sklearn.preprocessing, MinMaxScaler)",1,STATIC_DISPATCH,,6,<operator>.assignment,<operator>.assignment,5,,,ANY
30064771085,CALL,2,,Flask(__name__),7,DYNAMIC_DISPATCH,,8,flask.py:<module>.Flask.__init__,Flask,2,,,ANY
